episode,timestep,reward
296,2000,-270.5119
582,4000,-270.4983
842,6000,-255.9598
1146,8000,-261.1927
1399,10000,-252.8328
1657,12000,-255.762
1900,14000,-253.1102
2139,16000,-252.6776
2403,18000,-244.9288
2664,20000,-247.4646
2881,22000,-246.0738
3138,24000,-249.3402
3373,26000,-242.3949
3585,28000,-235.4669
3816,30000,-238.7038
4050,32000,-236.7124
4264,34000,-233.9646
4494,36000,-243.6992
4691,38000,-229.3551
4889,40000,-229.7461
5108,42000,-235.5782
5329,44000,-232.9875
5537,46000,-229.1856
5753,48000,-228.2671
5964,50000,-233.2513
6189,52000,-229.2649
6385,54000,-223.1621
6600,56000,-230.2082
6800,58000,-226.2028
6984,60000,-225.4343
7172,62000,-220.8538
7384,64000,-223.2823
7562,66000,-219.1771
7763,68000,-219.8497
7915,70000,-209.0034
8121,72000,-220.1091
8276,74000,-217.3974
8452,76000,-219.0375
8629,78000,-211.8169
8800,80000,-217.098
8984,82000,-215.5541
9158,84000,-216.5374
9325,86000,-211.7712
9481,88000,-205.3427
9633,90000,-209.4611
9797,92000,-208.7884
9948,94000,-210.8827
10114,96000,-209.8626
10277,98000,-215.1757
10436,100000,-211.0171
10595,102000,-204.398
10753,104000,-209.0475
10920,106000,-207.5673
11053,108000,-206.9655
11209,110000,-205.4963
11350,112000,-212.471
11493,114000,-206.0347
11632,116000,-205.9463
11787,118000,-207.9149
11929,120000,-208.073
12057,122000,-199.3353
12203,124000,-203.9254
12352,126000,-211.3182
12474,128000,-194.9853
12609,130000,-212.0871
12764,132000,-208.0941
12882,134000,-200.2986
13013,136000,-204.8871
13139,138000,-205.3295
13273,140000,-201.3925
13395,142000,-204.8705
13531,144000,-205.2799
13669,146000,-209.8018
13819,148000,-214.4256
13964,150000,-211.8709
14084,152000,-200.841
14191,154000,-197.0376
14317,156000,-199.6447
14443,158000,-200.5766
14577,160000,-208.7469
14713,162000,-205.072
14850,164000,-201.4179
14965,166000,-205.438
15104,168000,-202.1043
15234,170000,-204.8667
15350,172000,-195.2967
15483,174000,-200.9842
15589,176000,-205.8323
15707,178000,-213.1012
15832,180000,-206.547
15947,182000,-194.0029
16052,184000,-203.4583
16171,186000,-208.2921
16294,188000,-200.0111
16414,190000,-204.2498
16542,192000,-203.567
16661,194000,-205.7766
16782,196000,-197.1522
16888,198000,-190.2226
16998,200000,-195.1435
17102,202000,-192.843
17232,204000,-208.677
17351,206000,-197.8959
17472,208000,-198.9636
17588,210000,-202.3572
17678,212000,-185.3832
17783,214000,-198.4057
17896,216000,-196.503
18022,218000,-210.8256
18128,220000,-198.1636
18217,222000,-201.0862
18311,224000,-191.4798
18429,226000,-200.8144
18539,228000,-200.1692
18659,230000,-199.0141
18770,232000,-201.1629
18872,234000,-197.1025
18973,236000,-193.5164
19102,238000,-204.2481
19182,240000,-190.409
19294,242000,-197.7545
19399,244000,-198.715
19506,246000,-195.5356
19609,248000,-195.8806
19721,250000,-198.9549
19822,252000,-188.9144
19923,254000,-198.0991
20037,256000,-196.5781
20126,258000,-190.3618
20210,260000,-191.9582
20306,262000,-190.9472
20397,264000,-183.8436
20493,266000,-188.6622
20602,268000,-197.5984
20691,270000,-189.7898
20785,272000,-194.9877
20896,274000,-202.2869
21003,276000,-188.3278
21114,278000,-193.3843
21225,280000,-195.7585
21301,282000,-189.6493
21391,284000,-186.5587
21458,286000,-187.6298
21538,288000,-182.7929
21633,290000,-186.1601
21731,292000,-192.6875
21818,294000,-203.473
21911,296000,-199.4349
21995,298000,-190.4354
22094,300000,-198.2645
22198,302000,-193.0795
22288,304000,-192.5556
22378,306000,-191.9012
22455,308000,-199.9309
22526,310000,-178.8685
22621,312000,-193.255
22714,314000,-191.3259
22800,316000,-188.6978
22893,318000,-190.8617
22970,320000,-189.9543
23059,322000,-190.864
23160,324000,-208.7844
23257,326000,-200.2041
23358,328000,-199.0172
23446,330000,-192.4573
23529,332000,-201.1842
23608,334000,-191.018
23685,336000,-204.2202
23769,338000,-196.8272
23847,340000,-191.1628
23932,342000,-196.8065
24015,344000,-197.4793
24098,346000,-199.3754
24169,348000,-183.8636
24248,350000,-198.4652
24332,352000,-191.6945
24414,354000,-205.2899
24499,356000,-195.8353
24585,358000,-196.9064
24669,360000,-204.6846
24738,362000,-194.6876
24822,364000,-197.4165
24902,366000,-186.5603
24978,368000,-197.4614
25062,370000,-194.6089
25137,372000,-204.7471
25213,374000,-203.4205
25301,376000,-195.9852
25381,378000,-187.319
25463,380000,-186.7017
25537,382000,-190.3832
25627,384000,-198.4403
25701,386000,-191.7329
25768,388000,-193.7266
25833,390000,-201.1058
25905,392000,-189.4942
25996,394000,-192.304
26086,396000,-194.1639
26151,398000,-180.0207
26226,400000,-189.6608
26303,402000,-194.602
26369,404000,-194.5916
26455,406000,-194.7594
26525,408000,-195.0861
26620,410000,-199.2729
26693,412000,-194.6484
26758,414000,-191.7704
26836,416000,-196.7788
26917,418000,-192.0819
26995,420000,-204.8683
27073,422000,-203.0193
27154,424000,-193.126
27232,426000,-196.9339
27317,428000,-190.2143
27384,430000,-186.2953
