episode,timestep,reward
184,2000,-262.12
337,4000,-258.0613
465,6000,-246.5553
606,8000,-256.5505
754,10000,-252.2459
887,12000,-259.7155
1022,14000,-252.5609
1160,16000,-253.4812
1312,18000,-263.3059
1445,20000,-246.7554
1581,22000,-260.1001
1720,24000,-252.788
1837,26000,-252.6217
1968,28000,-247.7792
2104,30000,-257.1449
2233,32000,-253.6013
2376,34000,-251.2625
2507,36000,-256.3112
2668,38000,-257.577
2810,40000,-253.7945
2968,42000,-259.2355
3095,44000,-256.6294
3221,46000,-255.65
3359,48000,-254.476
3502,50000,-261.2528
3651,52000,-258.1315
3788,54000,-255.1946
3927,56000,-260.0075
4037,58000,-259.2042
4189,60000,-255.8388
4318,62000,-255.3057
4457,64000,-262.6814
4578,66000,-244.608
4714,68000,-253.3288
4838,70000,-246.4991
4988,72000,-252.098
5123,74000,-248.3355
5255,76000,-252.7075
5379,78000,-253.8242
5539,80000,-252.1535
5666,82000,-247.6251
5790,84000,-249.1325
5915,86000,-252.2285
6060,88000,-246.1951
6195,90000,-252.1086
6329,92000,-253.3351
6454,94000,-248.7997
6560,96000,-247.6572
6675,98000,-243.2252
6784,100000,-250.4105
6920,102000,-253.6964
7039,104000,-251.9267
7169,106000,-251.4282
7293,108000,-250.82
7418,110000,-250.6865
7559,112000,-252.3762
7686,114000,-242.938
7810,116000,-248.344
7953,118000,-255.9162
8086,120000,-254.1548
8202,122000,-244.1771
8329,124000,-254.657
8475,126000,-250.4045
8630,128000,-252.8175
8756,130000,-246.4787
8887,132000,-245.6831
9006,134000,-245.1828
9130,136000,-251.1073
9277,138000,-250.6213
9401,140000,-253.0382
9533,142000,-255.9414
9681,144000,-254.418
9803,146000,-252.012
9925,148000,-248.7422
10052,150000,-245.1559
10195,152000,-256.0032
10306,154000,-246.5657
10430,156000,-248.0321
10586,158000,-258.3807
10717,160000,-249.9778
10855,162000,-255.4469
10975,164000,-256.2052
11106,166000,-251.0709
11226,168000,-243.7424
11361,170000,-251.5862
11475,172000,-255.1231
11614,174000,-256.5085
11739,176000,-252.3194
11856,178000,-247.0704
11987,180000,-255.6528
12131,182000,-253.0603
12271,184000,-253.2507
12397,186000,-250.9528
12507,188000,-249.9527
12636,190000,-249.5807
12767,192000,-243.9206
12893,194000,-252.7233
13001,196000,-237.9787
13143,198000,-258.0537
13270,200000,-255.1766
13385,202000,-240.4513
13524,204000,-249.3188
13643,206000,-244.6511
13777,208000,-254.8928
13905,210000,-251.5798
14048,212000,-259.6319
14175,214000,-245.1559
14289,216000,-245.7109
14411,218000,-250.529
14555,220000,-248.8085
14683,222000,-241.3974
14815,224000,-251.6434
14945,226000,-241.6298
15081,228000,-251.3118
15211,230000,-252.8546
