episode,timestep,reward
237,2000,-301.0169
476,4000,-304.2128
690,6000,-301.965
910,8000,-301.5906
1173,10000,-298.3922
1440,12000,-301.8628
1714,14000,-300.9836
1946,16000,-297.9185
2187,18000,-299.7597
2419,20000,-302.6091
2672,22000,-301.1582
2938,24000,-302.1996
3181,26000,-301.3785
3450,28000,-303.6174
3697,30000,-299.6473
3979,32000,-301.8175
4246,34000,-300.0151
4475,36000,-301.2453
4701,38000,-303.4932
4932,40000,-302.5712
5176,42000,-302.4695
5432,44000,-299.9457
5691,46000,-299.5635
5915,48000,-303.0343
6144,50000,-303.9972
6378,52000,-301.7384
6612,54000,-303.6488
6823,56000,-303.0211
7048,58000,-301.8022
7294,60000,-304.1205
7508,62000,-301.5616
7719,64000,-302.8455
7941,66000,-302.2531
8148,68000,-301.9471
8370,70000,-299.0447
8602,72000,-298.8257
8794,74000,-308.3085
9009,76000,-303.7547
9202,78000,-304.8195
9374,80000,-301.1493
9561,82000,-303.2985
9773,84000,-300.8905
9983,86000,-303.7944
10183,88000,-301.863
10370,90000,-303.4993
10564,92000,-302.6451
10735,94000,-303.7772
10920,96000,-303.4369
11109,98000,-304.555
11304,100000,-304.7304
11491,102000,-305.0822
11705,104000,-304.0392
11877,106000,-307.2003
12054,108000,-303.6293
12271,110000,-303.7636
12444,112000,-301.5826
12624,114000,-305.6579
12768,116000,-305.9391
12936,118000,-305.2142
13108,120000,-301.8745
13285,122000,-305.2126
13437,124000,-302.1884
13606,126000,-305.9153
13782,128000,-303.4115
13967,130000,-304.2073
14146,132000,-302.8085
14328,134000,-303.5885
14501,136000,-303.3384
14679,138000,-303.2122
14858,140000,-305.3835
15016,142000,-305.3648
15193,144000,-300.3575
15360,146000,-306.3979
15519,148000,-305.9724
15671,150000,-307.9377
15848,152000,-306.1065
15993,154000,-303.91
16162,156000,-303.5946
16335,158000,-304.0106
16506,160000,-304.1596
16682,162000,-301.1332
16857,164000,-303.8755
17036,166000,-303.4454
17205,168000,-303.7892
17377,170000,-303.9508
17546,172000,-304.6571
17683,174000,-311.7919
17830,176000,-309.8511
17989,178000,-307.1571
18134,180000,-307.6312
18294,182000,-301.8418
18445,184000,-304.0593
18597,186000,-305.7097
18771,188000,-311.0917
18930,190000,-307.1187
19083,192000,-304.7123
19248,194000,-309.034
19408,196000,-305.6972
19570,198000,-307.3367
19733,200000,-301.9202
19882,202000,-306.5847
20028,204000,-307.7354
20175,206000,-304.9329
20327,208000,-308.5886
20473,210000,-309.6394
20634,212000,-308.8266
20779,214000,-305.5091
20934,216000,-306.0503
21077,218000,-306.6959
21237,220000,-305.0343
21390,222000,-309.1488
21545,224000,-300.8482
21681,226000,-307.857
21814,228000,-310.3826
21962,230000,-312.3147
22084,232000,-309.5959
22230,234000,-310.3753
22380,236000,-305.7674
22539,238000,-307.6708
22669,240000,-304.0888
22814,242000,-311.5333
